Attrition,Age,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,Shift,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
No,41,Travel_Rarely,1102,Cardiology,1,2,Life Sciences,2,Female,94,3,2,Nurse,4,Single,5993,19479,8,Y,Yes,11,3,1,80,0,8,0,1,6,4,0,5
No,49,Travel_Frequently,279,Maternity,8,1,Life Sciences,3,Male,61,2,2,Other,2,Married,5130,24907,1,Y,No,23,4,4,80,1,10,3,3,10,7,1,7
Yes,37,Travel_Rarely,1373,Maternity,2,2,Other,4,Male,92,2,1,Nurse,3,Single,2090,2396,6,Y,Yes,15,3,2,80,0,7,3,3,0,0,0,0
No,33,Travel_Frequently,1392,Maternity,3,4,Life Sciences,4,Female,56,3,1,Other,3,Married,2909,23159,1,Y,Yes,11,3,3,80,0,8,3,3,8,7,3,0
No,27,Travel_Rarely,591,Maternity,2,1,Medical,1,Male,40,3,1,Nurse,2,Married,3468,16632,9,Y,No,12,3,4,80,1,6,3,3,2,2,2,2
No,32,Travel_Frequently,1005,Maternity,2,2,Life Sciences,4,Male,79,3,1,Nurse,4,Single,3068,11864,0,Y,No,13,3,3,80,0,8,2,2,7,7,3,6
No,59,Travel_Rarely,1324,Maternity,3,3,Medical,3,Female,81,4,1,Nurse,1,Married,2670,9964,4,Y,Yes,20,4,1,80,3,12,3,2,1,0,0,0
No,30,Travel_Rarely,1358,Maternity,24,1,Life Sciences,4,Male,67,3,1,Nurse,3,Divorced,2693,13335,1,Y,No,22,4,2,80,1,1,2,3,1,0,0,0
No,38,Travel_Frequently,216,Maternity,23,3,Life Sciences,4,Male,44,2,3,Therapist,3,Single,9526,8787,0,Y,No,21,4,2,80,0,10,2,3,9,7,1,8
No,36,Travel_Rarely,1299,Maternity,27,3,Medical,3,Male,94,3,2,Nurse,3,Married,5237,16577,6,Y,No,13,3,2,80,2,17,3,2,7,7,7,7
